Problem,Exact GS,Optimizer,Trials,Best mean,Best std,Best SEM,Final mean,Final std,NEFV,Depth
Frustrated Ising N=4,-1.549051,QLTO V3 QPE (k=4),5,-1.361194,0.028930,0.012938,-1.355035,0.032091,180,296
Frustrated Ising N=4,-1.549051,Correct QNG,5,-1.320588,0.036669,0.016399,-1.320588,0.036669,1440,0
Frustrated Ising N=4,-1.549051,AdamW,5,-1.386964,0.042036,0.018799,-1.384512,0.046833,1280,0
Frustrated Ising N=4,-1.549051,SPSA,5,-1.263008,0.051089,0.022848,-1.263008,0.051089,400,0
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 QPE (k=4),5,0.022049,0.022219,0.009937,0.034789,0.026668,140,88
MaxCut N=4 (Opt=4.0),-0.000000,Correct QNG,5,0.122984,0.175480,0.078477,0.122984,0.175480,720,0
MaxCut N=4 (Opt=4.0),-0.000000,AdamW,5,0.047096,0.014498,0.006484,0.081516,0.046394,640,0
MaxCut N=4 (Opt=4.0),-0.000000,SPSA,5,0.108896,0.099359,0.044435,0.108896,0.099359,200,0
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 QPE (k=4),5,0.141296,0.256315,0.114628,0.144096,0.254904,140,536
MaxCut N=6 (Opt=12.0),-0.000000,Correct QNG,5,0.005898,0.008518,0.003809,0.012898,0.019498,1040,0
MaxCut N=6 (Opt=12.0),-0.000000,AdamW,5,0.307090,0.099138,0.044336,0.362680,0.113120,960,0
MaxCut N=6 (Opt=12.0),-0.000000,SPSA,5,0.230840,0.150278,0.067206,0.231152,0.150123,200,0
H2 Molecule,-1.857275,QLTO V3 QPE (k=4),5,-1.829160,0.045101,0.020170,-1.748551,0.081122,180,239
H2 Molecule,-1.857275,Correct QNG,5,-1.824728,0.015704,0.007023,-1.824728,0.015704,800,0
H2 Molecule,-1.857275,AdamW,5,-1.847415,0.003924,0.001755,-1.845981,0.003232,640,0
H2 Molecule,-1.857275,SPSA,5,-1.830105,0.015183,0.006790,-1.830105,0.015183,400,0
Frustrated Ising N=4,-1.549051,QLTO V3 QPE (k=4),5,-1.365222,0.022811,0.010202,-1.363327,0.020742,180,248
Frustrated Ising N=4,-1.549051,Correct QNG,5,-1.317857,0.035336,0.015803,-1.317857,0.035336,1440,0
Frustrated Ising N=4,-1.549051,AdamW,5,-1.391419,0.036306,0.016236,-1.382049,0.038072,1280,0
Frustrated Ising N=4,-1.549051,SPSA,5,-1.285309,0.040930,0.018305,-1.285304,0.040930,400,0
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 QPE (k=4),5,0.010705,0.004824,0.002158,0.025455,0.019940,140,88
MaxCut N=4 (Opt=4.0),-0.000000,Correct QNG,5,0.127239,0.185243,0.082843,0.127239,0.185243,720,0
MaxCut N=4 (Opt=4.0),-0.000000,AdamW,5,0.041059,0.017129,0.007660,0.052788,0.023487,640,0
MaxCut N=4 (Opt=4.0),-0.000000,SPSA,5,0.263897,0.420547,0.188074,0.263897,0.420547,200,0
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 QPE (k=4),5,0.181840,0.335613,0.150091,0.185571,0.333783,140,377
MaxCut N=6 (Opt=12.0),-0.000000,Correct QNG,5,0.007066,0.006497,0.002906,0.027567,0.046765,1040,0
MaxCut N=6 (Opt=12.0),-0.000000,AdamW,5,0.230338,0.074319,0.033237,0.425392,0.126736,960,0
MaxCut N=6 (Opt=12.0),-0.000000,SPSA,5,0.398951,0.295337,0.132079,0.398951,0.295337,200,0
H2 Molecule,-1.857275,QLTO V3 QPE (k=4),5,-1.835018,0.028654,0.012814,-1.750568,0.048985,180,239
H2 Molecule,-1.857275,Correct QNG,5,-1.825055,0.015636,0.006993,-1.825055,0.015636,800,0
