Problem,Exact GS,Optimizer,Trials,Best mean,Best std,Best SEM,Final mean,Final std,NEFV,Depth
Frustrated Ising N=4,-1.549051,QLTO V6,5,-1.342866,0.030516,0.013647,-1.341900,0.029794,80,27
Frustrated Ising N=4,-1.549051,Correct QNG,5,-1.318385,0.034980,0.015643,-1.318385,0.034980,1440,0
Frustrated Ising N=4,-1.549051,AdamW,5,-1.386254,0.036315,0.016241,-1.381450,0.036038,1280,0
Frustrated Ising N=4,-1.549051,SPSA,5,-1.266720,0.046215,0.020668,-1.266720,0.046215,400,0
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V6,5,0.161321,0.269165,0.120374,0.161374,0.269134,20,27
MaxCut N=4 (Opt=4.0),-0.000000,Correct QNG,5,0.107040,0.144528,0.064635,0.107040,0.144528,720,0
MaxCut N=4 (Opt=4.0),-0.000000,AdamW,5,0.059732,0.019415,0.008683,0.071134,0.020365,640,0
MaxCut N=4 (Opt=4.0),-0.000000,SPSA,5,0.268803,0.414778,0.185495,0.268803,0.414778,200,0
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V6,5,1.009510,0.828930,0.370709,1.009559,0.828872,20,45
MaxCut N=6 (Opt=12.0),-0.000000,Correct QNG,5,0.003292,0.002711,0.001212,0.004531,0.002825,1040,0
MaxCut N=6 (Opt=12.0),-0.000000,AdamW,5,0.237440,0.073306,0.032784,0.346552,0.049247,960,0
MaxCut N=6 (Opt=12.0),-0.000000,SPSA,5,0.336128,0.265522,0.118745,0.336306,0.265475,200,0
H2 Molecule,-1.857275,QLTO V6,5,-1.848320,0.006935,0.003101,-1.847621,0.006427,80,19
H2 Molecule,-1.857275,Correct QNG,5,-1.824855,0.016166,0.007230,-1.824855,0.016166,800,0
H2 Molecule,-1.857275,AdamW,5,-1.844028,0.007847,0.003509,-1.838486,0.009285,640,0
H2 Molecule,-1.857275,SPSA,5,-1.831329,0.013721,0.006136,-1.831329,0.013721,400,0
LiH Molecule,-8.949737,QLTO V6,5,-8.822168,0.109515,0.048976,-8.822168,0.109515,180,27
LiH Molecule,-8.949737,Correct QNG,5,-8.482683,0.339106,0.151653,-8.482683,0.339106,2160,0
LiH Molecule,-8.949737,AdamW,5,-8.907747,0.012443,0.005565,-8.892764,0.020984,1920,0
LiH Molecule,-8.949737,SPSA,5,-8.647660,0.230295,0.102991,-8.647660,0.230295,600,0
Heisenberg N=4,-6.464102,QLTO V6,5,-5.622833,0.547256,0.244740,-5.615084,0.554321,180,27
Heisenberg N=4,-6.464102,Correct QNG,5,-6.023066,0.043346,0.019385,-6.022948,0.043410,2160,0
Heisenberg N=4,-6.464102,AdamW,5,-5.956057,0.061453,0.027483,-5.911063,0.112320,1920,0
Heisenberg N=4,-6.464102,SPSA,5,-6.005990,0.075321,0.033684,-6.004644,0.073826,600,0
Heisenberg N=6,-9.974309,QLTO V6,5,-8.584406,0.584559,0.261423,-8.580276,0.581820,180,45
Heisenberg N=6,-9.974309,Correct QNG,5,-8.877147,0.471992,0.211081,-8.877143,0.471991,3120,0
Heisenberg N=6,-9.974309,AdamW,5,-8.798848,0.148569,0.066442,-8.780186,0.139781,2880,0
Heisenberg N=6,-9.974309,SPSA,5,-7.639269,0.741547,0.331630,-7.639269,0.741547,600,0
Heisenberg N=8,-13.499730,QLTO V6,5,-10.434077,0.928045,0.415034,-10.434077,0.928045,180,41
Heisenberg N=8,-13.499730,Correct QNG,5,-12.157640,0.050919,0.022772,-12.157640,0.050919,4080,0
Heisenberg N=8,-13.499730,AdamW,5,-11.961342,0.066064,0.029545,-11.961342,0.066064,3840,0
Heisenberg N=8,-13.499730,SPSA,5,-10.066227,0.381388,0.170562,-10.040466,0.381956,600,0
