Problem,Exact GS,Optimizer,Trials,Best mean,Best std,Best SEM,Final mean,Final std,NEFV,Depth
Frustrated Ising N=4,-1.549051,QLTO V3 QPE (k=4),5,-1.348550,0.029771,0.013314,-1.344342,0.025052,180,286
Frustrated Ising N=4,-1.549051,QLTO V3 (Hadamard),5,-1.329890,0.024715,0.011053,-1.305167,0.022356,180,189
Frustrated Ising N=4,-1.549051,QLTO V2 (engine-grad),5,-1.408757,0.031465,0.014072,-1.400652,0.036806,720,1139
Frustrated Ising N=4,-1.549051,QAOA,5,-1.013379,0.081744,0.036557,-0.989385,0.078013,400,56
Frustrated Ising N=4,-1.549051,Correct QNG,5,-1.323268,0.035324,0.015797,-1.319475,0.033707,720,0
Frustrated Ising N=4,-1.549051,AdamW,5,-1.393366,0.033515,0.014988,-1.372808,0.040286,640,0
Frustrated Ising N=4,-1.549051,SPSA,5,-1.287544,0.033543,0.015001,-1.266625,0.036140,200,0
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 QPE (k=4),5,0.006515,0.004639,0.002074,0.017441,0.022851,180,136
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 (Hadamard),5,0.114442,0.141292,0.063188,0.120932,0.138503,180,176
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V2 (engine-grad),5,0.010207,0.033440,0.014955,0.023895,0.028145,640,1109
MaxCut N=4 (Opt=4.0),-0.000000,QAOA,5,0.345740,0.137679,0.061572,0.355289,0.141190,400,29
MaxCut N=4 (Opt=4.0),-0.000000,Correct QNG,5,0.124214,0.184346,0.082442,0.130092,0.180602,720,0
MaxCut N=4 (Opt=4.0),-0.000000,AdamW,5,0.063061,0.019823,0.008865,0.090169,0.012540,640,0
MaxCut N=4 (Opt=4.0),-0.000000,SPSA,5,0.240548,0.391382,0.175031,0.242852,0.390684,200,0
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 QPE (k=4),5,0.218677,0.410632,0.183640,0.222352,0.408807,180,490
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 (Hadamard),5,2.028596,2.325533,1.040010,2.063154,2.302163,180,284
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V2 (engine-grad),5,0.749659,1.377546,0.616057,1.113722,2.075689,880,1706
MaxCut N=6 (Opt=12.0),-0.000000,QAOA,5,6.274402,0.790968,0.353732,6.283530,0.789563,400,86
MaxCut N=6 (Opt=12.0),-0.000000,Correct QNG,5,-0.013683,0.007112,0.003181,0.015455,0.007849,1040,0
MaxCut N=6 (Opt=12.0),-0.000000,AdamW,5,0.254352,0.081241,0.036332,0.343636,0.065610,960,0
MaxCut N=6 (Opt=12.0),-0.000000,SPSA,5,0.192748,0.082267,0.036791,0.198033,0.079299,200,0
H2 Molecule,-1.857275,QLTO V3 QPE (k=4),5,-1.820040,0.020389,0.009118,-1.715151,0.073801,180,162
H2 Molecule,-1.857275,QLTO V3 (Hadamard),5,-1.837093,0.010404,0.004653,-1.828536,0.011850,180,97
H2 Molecule,-1.857275,QLTO V2 (engine-grad),5,-1.828850,0.052765,0.023597,-1.802225,0.060351,440,572
H2 Molecule,-1.857275,Correct QNG,5,-1.833644,0.020898,0.009346,-1.827064,0.020044,400,0
H2 Molecule,-1.857275,AdamW,5,-1.857468,0.012470,0.005577,-1.840017,0.020360,320,0
H2 Molecule,-1.857275,SPSA,5,-1.856294,0.014850,0.006641,-1.827945,0.015043,200,0
LiH Molecule,-8.949737,QLTO V3 QPE (k=4),5,-8.862814,0.060178,0.026912,-8.862814,0.060178,180,629
