Problem,Exact GS,Optimizer,Trials,Best mean,Best std,Best SEM,Final mean,Final std,NEFV,Depth
Frustrated Ising N=4,-1.549051,QLTO V3 (walk-grad),5,-1.272433,0.060705,0.027148,-1.245311,0.048028,180,149
Frustrated Ising N=4,-1.549051,QLTO V2 (engine-grad),5,-1.370601,0.059567,0.026639,-1.357829,0.059309,720,419
Frustrated Ising N=4,-1.549051,QAOA (p=3),5,-0.844612,0.212205,0.094901,-0.813724,0.210518,400,43
Frustrated Ising N=4,-1.549051,Correct QNG,5,-0.950567,0.139636,0.062447,-0.948807,0.139411,720,0
Frustrated Ising N=4,-1.549051,AdamW,5,-1.346390,0.035640,0.015939,-1.340534,0.034414,640,0
Frustrated Ising N=4,-1.549051,SPSA,5,-0.697777,0.250064,0.111832,-0.674326,0.248175,200,0
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 (walk-grad),5,0.093077,0.052965,0.023687,0.140314,0.055811,180,136
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V2 (engine-grad),5,0.026652,0.022390,0.010013,0.098760,0.029498,640,389
MaxCut N=4 (Opt=4.0),-0.000000,QAOA (p=3),5,0.600619,0.189440,0.084720,0.606962,0.192383,400,22
MaxCut N=4 (Opt=4.0),-0.000000,Correct QNG,5,0.775879,0.386682,0.172929,0.776046,0.386821,720,0
MaxCut N=4 (Opt=4.0),-0.000000,AdamW,5,0.068559,0.027431,0.012268,0.076401,0.020151,640,0
MaxCut N=4 (Opt=4.0),-0.000000,SPSA,5,1.110208,0.367604,0.164397,1.120934,0.368285,200,0
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 (walk-grad),5,1.308924,1.414730,0.632686,1.349049,1.440550,180,224
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V2 (engine-grad),5,0.475981,0.702790,0.314297,0.492396,0.691656,880,626
MaxCut N=6 (Opt=12.0),-0.000000,QAOA (p=3),5,7.083473,0.279573,0.125029,7.090541,0.274391,400,67
MaxCut N=6 (Opt=12.0),-0.000000,Correct QNG,5,0.420189,0.481453,0.215312,0.420869,0.480897,1040,0
MaxCut N=6 (Opt=12.0),-0.000000,AdamW,5,0.665287,0.497046,0.222286,0.706752,0.468228,960,0
MaxCut N=6 (Opt=12.0),-0.000000,SPSA,5,2.646369,1.710418,0.764922,2.647825,1.709798,200,0
H2 Molecule,-1.857275,QLTO V3 (walk-grad),5,-1.844121,0.014570,0.006516,-1.829882,0.012732,180,77
H2 Molecule,-1.857275,QLTO V2 (engine-grad),5,-1.826487,0.028620,0.012799,-1.614585,0.128815,440,212
H2 Molecule,-1.857275,QAOA (p=3),5,-1.859736,0.004601,0.002058,-1.833072,0.018699,400,16
H2 Molecule,-1.857275,Correct QNG,5,-1.609372,0.211741,0.094693,-1.598243,0.205955,400,0
H2 Molecule,-1.857275,AdamW,5,-1.854033,0.008076,0.003611,-1.824996,0.014393,320,0
H2 Molecule,-1.857275,SPSA,5,-1.537937,0.208833,0.093393,-1.522733,0.213996,200,0
LiH Molecule,-8.949737,QLTO V3 (walk-grad),5,-8.797590,0.100728,0.045047,-8.790514,0.109651,180,170
LiH Molecule,-8.949737,QLTO V2 (engine-grad),5,-8.745192,0.119680,0.053522,-8.598347,0.077033,720,451
